Asi-Cod-3,Asi-Cod-4,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ALE,ALEM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMU,ANMU,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
BIO,BIOL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAS,CAST,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CTM,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
DAR,DART,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
DIS,DISE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DTE,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ECO,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ELE,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
FIS,FISI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FRA,FRAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GEO,GEOG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GRI,GRIE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HAR,HART,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HES,HESP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HFI,HFIL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HMD,HMUS,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
ING,INGL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ITA,ITAL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LAT,LATI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LIT,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
LPM,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
MAT,MATE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MCS,MACS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POR,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
QUI,QUIM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TEG,TE1P,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
TIN,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
VAL,VALE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FAR,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ARE,ARES,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
CUA,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
,COTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,DTAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,EMDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,FUAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GEL,GECA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
,LITE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,TEIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
